State,Account Length,Area Code,Phone,IntlPlan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn
KS,128,415,382-4657,no,yes,25,265.100.000,110,45.070.000,197.400.000,99,16.780.000,244.700.000,91,11.010.000,10.000.000,3,2.700.000,1,False.
OH,107,415,371-7191,no,yes,26,161.600.000,123,27.470.000,195.500.000,103,16.620.000,254.400.000,103,11.450.000,13.700.000,3,3.700.000,1,False.
NJ,137,415,358-1921,no,no,0,243.400.000,114,41.380.000,121.200.000,110,10.300.000,162.600.000,104,7.320.000,12.200.000,5,3.290.000,0,False.
OH,84,408,375-9999,yes,no,0,299.400.000,71,50.900.000,61.900.000,88,5.260.000,196.900.000,89,8.860.000,6.600.000,7,1.780.000,2,False.
OK,75,415,330-6626,yes,no,0,166.700.000,113,28.340.000,148.300.000,122,12.610.000,186.900.000,121,8.410.000,10.100.000,3,2.730.000,3,False.
AL,118,510,391-8027,yes,no,0,223.400.000,98,37.980.000,220.600.000,101,18.750.000,203.900.000,118,9.180.000,6.300.000,6,1.700.000,0,False.
MA,121,510,355-9993,no,yes,24,218.200.000,88,37.090.000,348.500.000,108,29.620.000,212.600.000,118,9.570.000,7.500.000,7,2.030.000,3,False.
MO,147,415,329-9001,yes,no,0,157.000.000,79,26.690.000,103.100.000,94,8.760.000,211.800.000,96,9.530.000,7.100.000,6,1.920.000,0,False.
LA,117,408,335-4719,no,no,0,184.500.000,97,31.370.000,351.600.000,80,29.890.000,215.800.000,90,9.710.000,8.700.000,4,2.350.000,1,False.
WV,141,415,330-8173,yes,yes,37,258.600.000,84,43.960.000,222.000.000,111,18.870.000,326.400.000,97,14.690.000,11.200.000,5,3.020.000,0,False.
IN,65,415,329-6603,no,no,0,129.100.000,137,21.950.000,228.500.000,83,19.420.000,208.800.000,111,9.400.000,12.700.000,6,3.430.000,4,True.
RI,74,415,344-9403,no,no,0,187.700.000,127,31.910.000,163.400.000,148,13.890.000,196.000.000,94,8.820.000,9.100.000,5,2.460.000,0,False.
IA,168,408,363-1107,no,no,0,128.800.000,96,21.900.000,104.900.000,71,8.920.000,141.100.000,128,6.350.000,11.200.000,2,3.020.000,1,False.
